NO,개설부서,교과목-분반,교과목명,이수구분,교과연구,담당교수,"과정
구분",강/실/학,시간표,강의실,"수강
정원","강의
계획서","설명
영상",강의언어
1,기초교육학부,GS0101-01,축구,필수,교과,서문학[61594],학사,2/0/0,화 19:00~21:00,,9,view,,
2,기초교육학부,GS0102-01,테니스,필수,교과,김홍재[63190],학사,2/0/0,월 19:00~21:00,,16,view,,
3,기초교육학부,GS0102-02,테니스,필수,교과,김홍재[63190],학사,2/0/0,화 19:00~21:00,,16,view,,
4,기초교육학부,GS0103-01,농구,필수,교과,배영종[61023],학사,2/0/0,수 19:00~21:00,,5,view,,
5,기초교육학부,GS0103-02,농구,필수,교과,배영종[61023],학사,2/0/0,목 19:00~21:00,,5,view,,
6,기초교육학부,GS0104-01,배드민턴,필수,교과,이기정[61095],학사,2/0/0,수 17:30~19:30,,6,view,,
7,기초교육학부,GS0104-02,배드민턴,필수,교과,이기정[61095],학사,2/0/0,목 17:30~19:30,,6,view,,
8,기초교육학부,GS0105-01,탁구,필수,교과,손향숙[61204],학사,2/0/0,목 17:30~19:30,,11,view,,
9,기초교육학부,GS0105-02,탁구,필수,교과,손향숙[61204],학사,2/0/0,목 19:00~21:00,,11,view,,
10,기초교육학부,GS0106-01,요가,필수,교과,이현화[61203],학사,2/0/0,수 17:30~19:30,,11,view,,
11,기초교육학부,GS0106-02,요가,필수,교과,이현화[61203],학사,2/0/0,수 19:00~21:00,,11,view,,
12,기초교육학부,GS0107-01,골프,필수,교과,박장진[62008],학사,2/0/0,목 19:00~21:00,,11,view,,
13,기초교육학부,GS0108-01,힙합댄스,필수,교과,이은지[62527],학사,2/0/0,화 19:00~21:00,,11,view,,
14,기초교육학부,GS0110-01,헬스,필수,교과,이재호[63191],학사,2/0/0,수 17:30~19:30,,11,view,,
15,기초교육학부,GS0110-02,헬스,필수,교과,이재호[63191],학사,2/0/0,수 19:00~21:00,,11,view,,
16,기초교육학부,GS0112-01,수영,필수,교과,김영민[61593],학사,2/0/0,목 17:30~19:30,,16,view,,
17,기초교육학부,GS0113-01,볼링,필수,교과,조상용[62102],학사,2/0/0,금 17:30~19:30,지스트대학A동(109),16,view,,
18,기초교육학부,GS0114-01,야구,필수,교과,정경운[62208],학사,2/0/0,목 19:00~21:00,,10,view,,
19,기초교육학부,GS0115-01,암벽등반,필수,교과,,학사,2/0/0,화 19:00~21:00,,10,view,,Korean
20,기초교육학부,GS0201-01,피아노,필수,교과,안혜선[61018],학사,2/0/0,화 17:30~19:30,지스트대학A동(103),14,view,,
21,기초교육학부,GS0201-02,피아노,필수,교과,송민경[62980],학사,2/0/0,월 17:30~19:30,지스트대학A동(103),14,view,,
